species,totalCount
Cynometra travancorica,22
Cynopterus sphinx,1050
Dicrurus aeneus,589
Goniothalamus wynaadensis,441
Jasminum grandiflorum,805
Nyctanthes arbor-tristis,3061
Pantoporia sandaka,723
Pelargopsis amauroptera,283
Rapala manea,6349
Samanea saman,5220
Tragia plukenetii,260
Vanda tessellata,501
Berrya cordifolia,173
Cinclus cinclus,179
Dichrocephala integrifolia,107
Diospyros montana,703
Bignonia callistegioides,168
Combretum latifolium,382
Xanthopimpla punctata,259
Barleria nitida,9
Cinchona officinalis,67
Coelogyne nitida,181
Achaea janata,1685
Adiantum capillus-veneris,106
Bauhinia racemosa,1528
Caprona agama,313
Coffea arabica,836
Cordia lutea,18
Cosmos bipinnatus,381
Diospyros chloroxylon,230
Excoecaria cochinchinensis,188
Ferania sieboldii,463
Grona triflora,1291
Heliocypha bisignata,3286
Passiflora foetida,3809
Pentatropis capensis,202
Pyrus communis,161
Synostemon bacciformis,117
Syzygium mundagam,140
Thyas coronata,1859
Dendrocygna bicolor,449
Gymnosporia senegalensis,51
Marmota himalayana,131
Meconopsis simplicifolia,205
Salix tetrasperma,202
Zoothera neilgherriensis,56
Eublemma cochylioides,158
Plutodes transmutata,111
Ancylolomia taprobanensis,4
Diospyros barberi,2
Amaranthus spinosus,538
Boselaphus tragocamelus,3886
Euthalia sahadeva,340
Helminthostachys zeylanica,302
Jasminum sambac,1284
Metoeca foedalis,872
Micrixalus kottigeharensis,2155
Phalanta phalantha,13435
Pseuderanthemum laxiflorum,241
Veronica polita,151
Cissus repanda,50
Cotachena histricalis,151
Euphlyctis karaavali,298
Heterophasia capistrata,100
Uropeltis shorttii,283
Lethe vindhya,164
Syzygium salicifolium,129
Turnera diffusa,146
Clematis terniflora,1
Hipposideros lankadiva,74
Acanthodactylus cantoris,428
Adenoon indicum,449
Chrysothemis pulchella,681
Coleus barbatus,688
Delgamma pangonia,74
Egretta garzetta,5946
Gavialis gangeticus,1939
Gongylus gongylodes,3348
Heptapleurum actinophyllum,1101
Hydrophis schistosus,617
Lindernia rotundifolia,300
Microhyla berdmorei,289
Motacilla citreola,894
Nilssonia nigricans,722
Paracercion calamorum,43
Parasa lepida,285
Parthenium hysterophorus,4505
Phyllanthus sikkimensis,225
Picus chlorolophus,353
Salvia splendens,554
Saxicoloides fulicatus,5725
Semecarpus anacardium,1017
Solanum erianthum,255
Ypthima ceylonica,360
Digama marchali,34
Impatiens flaccida,327
Phylloscopus humei,289
Dicliptera foetida,214
Drypetes oblongifolia,22
Octotropis travancorica,98
Raorchestes manohari,201
Hemonia orbiferana,188
Chiasmia emersaria,1034
Chrysophyllum cainito,585
Crescentia cujete,771
Mooreana trichoneura,954
Ovophis monticola,454
Poeciloneuron indicum,335
Pontederia crassipes,4203
Pothos crassipedunculatus,134
Punica granatum,2365
Trigastrotheca pentaphylla,189
Trigonocorypha unicolor,103
Epiphyllum oxypetalum,552
Gardenia gummifera,458
Limnonectes shompenorum,287
Odontomachus haematodus,178
Pareronia avatar,449
Rehimena phrynealis,222
Saccharum spontaneum,965
Seseria dohertyi,168
Xystrocera globosa,332
Acilepis divergens,328
Camacinia gigantea,177
Cyana bellissima,175
Tinolius quadrimaculatus,144
Ypthima inica,5
Dalima patularia,93
Kunstleria keralensis,47
Memecylon capitellatum,67
Trimezia gracilis,123
Bocchoris inspersalis,709
Boiga wallachi,240
Caleta decidia,3619
Callerebia hybrida,484
Capsicum annuum,578
Cepora nerissa,11234
Ehretia acuminata,161
Emilia sonchifolia,1164
Euphorbia milii,2797
Euploea klugii,2422
Euthalia lubentina,3076
Gerbera jamesonii,98
Hardwickia binata,348
Ixobrychus cinnamomeus,1094
Leucania yu,30
Rhyothemis plutonia,308
Trachypithecus phayrei,947
Uperodon triangularis,2078
Burara harisa,155
Dendrelaphis andamanensis,456
Dipterocarpus indicus,99
Dyschoriste madurensis,165
Graphium chironides,628
Hibiscus lobatus,284
Neonauclea gageana,8
Zeheba aureata,187
Ceropegia adscendens,28
Drynaria quercifolia,396
Launaea procumbens,292
Pleuroptya iopasalis,14
Rhagoletis cingulata,155
Tinospora sinensis,195
Blumea axillaris,35
Boiga ceylonensis,274
Cyclosa insulana,38
Passiflora subpeltata,167
Phylloscopus griseolus,108
Protaetia alboguttata,375
Abisara bifasciata,3062
Arhopala perimuta,310
Botaurus stellaris,199
Canarium strictum,767
Diplacodes nebulosa,912
Dumetia hyperythra,1470
Elattoneura campioni,403
Freyeria trochylus,2302
Helicoverpa armigera,967
Herpestes vitticollis,526
Oriolus traillii,167
Orthetrum taeniolatum,900
Paracroton integrifolius,145
Parathyma perius,3041
Phaethon aethereus,23
Pomatorhinus superciliaris,0
Psammophilus dorsalis,12261
Rhododendron arboreum,1587
Sarcogyps calvus,698
Sesamum indicum,1446
Aglais ladakensis,155
Calceolaria tripartita,225
Eoophyla sejunctalis,378
Humboldtia vahliana,511
Jerdonia indica,366
Litsea salicifolia,180
Macrotyloma ciliatum,183
Raorchestes sushili,141
Fejervarya moodiei,141
Nyctibatrachus major,93
Riccia frostii,142
Stylosanthes fruticosa,158
Cyananthus microphyllus,204
Suregada multiflora,169
Cassia javanica,1569
Creatonotos gangis,3053
Eupanacra busiris,105
Ficus religiosa,15179
Fowlea piscator,12973
Gaillardia pulchella,63
Harpegnathos saltator,726
Jasminum cuspidatum,83
Libellago lineata,1593
Macromidia donaldi,415
Mocis undata,1499
Papilio helenus,4354
Parkinsonia aculeata,685
Polygonum plebeium,305
Senna tora,974
Tajuria jehana,574
Thespesia populnea,6774
Threskiornis melanocephalus,9270
Chrysodeixis acuta,4
Crex crex,102
Dalbergia sissoides,238
Muscicapa sibirica,167
Pediculus humanus,9
Petinomys fuscocapillus,30
Podiceps cristatus,429
Technomyrmex albipes,12
Brachychiton acerifolius,158
Haliaeetus leucoryphus,122
Pinda concanensis,257
Stachys splendens,0
Ganoderma applanatum,57
Mythimna separata,20
Spelaeornis troglodytoides,172
Agrioglypta eurytusalis,151
Ardeotis nigriceps,479
Astictopterus jama,288
Boerhavia diffusa,2222
Calophyllum inophyllum,1638
Cerbera odollam,954
Clinotarsus curtipes,6101
Coriandrum sativum,509
Crotalaria verrucosa,1243
Dodona egeon,123
Hendecasis duplifascialis,415
Millingtonia hortensis,1542
Pyrausta panopealis,1065
Raorchestes shillongensis,55
Stereospermum colais,296
Turnix suscitator,531
Coffea benghalensis,86
Gardenia resinifera,108
Gynacantha bayadera,393
Magnolia rabaniana,154
Tragopan melanocephalus,50
Brihaspa atrostigmella,56
Falconeria insignis,225
Floscopa scandens,124
Henckelia incana,82
Betula utilis,125
Castanopsis indica,144
Chrysomma sinense,651
Erythrina variegata,1180
Garrulax pectoralis,219
Hipposideros larvatus,35
Hypolimnas misippus,15537
Minervarya gomantaki,140
Naja sagittifera,165
Panicum brevifolium,8
Pelargopsis capensis,2997
Anisephyra ocularia,591
Beara dichromella,37
Brachypterum scandens,159
Chilobrachys fimbriatus,116
Jasminum angustifolium,118
Lymantria mathura,172
Sphaerotheca dobsonii,1039
Vespa affinis,434
Volkameria aculeata,143
Cinnamomum tamala,1104
Nymphoides hydrophylla,255
Aeromachus stigmata,44
Abelmoschus esculentus,1956
Albizia lucidior,175
Araucaria columnaris,1467
Arisaema tortuosum,220
Asystasia travancorica,147
Catacanthus incarnatus,253
Charadrius asiaticus,46
Chikunia nigra,204
Corvus macrorhynchos,3843
Eranthemum roseum,1546
Graphium aristeus,218
Hyllus semicupreus,3398
Impatiens glandulifera,20
Mirafra affinis,1376
Orsotriaena medus,4239
Pangshura tentoria,3009
Raorchestes glandulosus,1897
Sibynophis collaris,625
Ypthima asterope,1122
Zoothera dauma,256
Ficus talbotii,95
Garcinia cowa,103
Ixora agasthyamalayana,155
Macrogomphus annulatus,486
Sinosidus albescens,57
Thevetia ahouai,23
Alcippe castaneceps,109
Camellia japonica,198
Melhania futteyporensis,131
Pontederia vaginalis,406
Procapra picticaudata,111
Chiasmia cymatodes,226
Conocephalus melaenus,1
Cyathocline purpurea,183
Dillenia suffruticosa,189
Orthocabera sericea,70
Adiantum alarconianum,122
Barleria lupulina,162
Borassus flabellifer,1454
Cinnamomum verum,1055
Eustrotia marginata,138
Hydrophylax bahuvistara,1807
Kaloula pulchra,953
Leonotis nepetifolia,501
Leptocoma brasiliana,723
Papilio nephelus,1409
Parapoynx diminutalis,239
Vigna unguiculata,463
Colebrookea oppositifolia,202
Euroscaptor micrura,169
Galinsoga parviflora,335
Glycine max,188
Heritiera papilio,290
Indosylvirana magna,22
Prinia flaviventris,149
Tournefortia heyneana,241
Trigonodes hyppasia,1730
Zurobata vacillans,282
Heliotropium curassavicum,183
Mentha piperita,51
Pedicularis gracilis,141
Petrea volubilis,389
Crotalaria multiflora,7
Eupterote bifasciata,170
Meyna spinosa,62
Albizia lebbeck,5982
Ardea purpurea,7014
Clamator jacobinus,4752
Colias nilagiriensis,200
Lagerstroemia indica,441
Macracantha arcuata,199
Morwennius decoratus,150
Mycalesis malsarida,52
Nephila pilipes,7607
Papilio epycides,78
Pericrocotus cinnamomeus,3004
Pseudagrion rubriceps,5021
Tectona grandis,7522
Turdus simillimus,1151
Vijayachelys silvatica,1031
Aglais urticae,348
Cochoa viridis,43
Heteropanax fragrans,149
Sagra femorata,190
Tacca chantrieri,57
Alpinia purpurata,287
Bambusa ventricosa,91
Gerosis phisara,62
Nesticodes rufipes,191
Pachira aquatica,42
Xanthophryne tigerina,404
Acacia elata,83
Acacia melanoxylon,83
Alangium salviifolium,1088
Amorphophallus paeoniifolius,1476
Bixa orellana,2178
Cassia roxburghii,660
Cinnamomum malabatrum,353
Cymbidium bicolor,739
Hemidactylus graniticolus,91
Hibiscus sabdariffa,561
Hydrobasileus croceus,1449
Lathyrus aphaca,191
Malvastrum coromandelianum,565
Psittacula alexandri,1141
Pterocles indicus,577
Uperodon systoma,2000
Uropeltis phipsonii,2241
Xylophis captaini,429
Ypthima philomela,242
Amata cyssea,726
Argentina polyphylla,192
Bungarus walli,146
Crematogaster rogenhoferi,7
Dienia ophrydis,75
Dioscorea esculenta,5
Microhyla chakrapanii,395
Oxyodes scrobiculata,172
Anomis flava,178
Oxneriopsis bassiae,40
Rhus chinensis,28
Senna sophera,266
Ictinogomphus distinctus,167
Mycalesis evansii,16
Brachydiplax sobrina,6333
Caprimulgus atripennis,324
Catharanthus pusillus,278
Dypsis lutescens,165
Elymnias vasudeva,420
Flacourtia montana,667
Garcinia mangostana,360
Guazuma ulmifolia,1770
Impatiens dalzellii,470
Minervarya keralensis,1008
Prinia gracilis,487
Prioria pinnata,498
Solanum mauritianum,282
Dimocarpus longan,269
Drypetes venusta,174
Heliotropium supinum,193
Psathyrella piluliformis,110
Thomisus spectabilis,765
Burara oedipodea,393
Rhododendron yedoense,56
Portulaca pilosa,181
Riptortus linearis,15
Spodoptera mauritia,106
Acrocephalus dumetorum,791
Anaphalis lawii,130
Aplonis panayensis,225
Azanus ubaldus,1969
Buzara onelia,94
Cananga odorata,560
Caryota urens,3942
Chlorophytum comosum,78
Coelognathus radiatus,785
Cynarospermum asperrimum,781
Diploclisia glaucescens,602
Euthalia aconthea,17810
Gandaca harina,1344
Glyphodes bicolor,518
Hebomoia glaucippe,4657
Hydrophis gracilis,166
Japalura kumaonensis,15
Lasippa viraja,148
Lymantria bivittata,210
Micrixalus uttaraghati,145
Monilesaurus ellioti,3469
Musa velutina,141
Panthera pardus,3766
Papilio crino,2992
Parnara guttatus,532
Prunus cerasoides,334
Solanum lycopersicum,703
Sphaerotheca breviceps,1874
Sturnia pagodarum,4434
Thunbergia grandiflora,819
Engelhardia spicata,208
Hypochrosis hyadaria,327
Raorchestes griet,673
Tonica niviferana,78
Xanthophyllum flavescens,148
Coix lacryma-jobi,609
Chilkasa falcata,31
Tyspanodes linealis,211
Attacus atlas,3900
Calandrella raytal,250
Dendrocopos hyperythrus,264
Diploknema butyracea,85
Euploea core,32027
Memecylon paniculatum,191
Opuntia ficus-indica,56
Pseudagrion malabaricum,440
Raorchestes dubois,1228
Salea horsfieldii,1189
Sesbania sesban,110
Torenia fournieri,342
Campsis radicans,188
Hypericum oblongifolium,173
Nepogomphus modestus,158
Salvinia cucullata,135
Arhopala camdeo,338
Melanocorypha bimaculata,115
Picus canus,185
Abisara neophron,109
Grona ferruginea,94
Nanorana gammii,188
Smilax wightii,96
Verbesina encelioides,203
Agriocnemis kalinga,2718
Alternanthera pungens,223
Basella alba,1022
Cacomantis passerinus,890
Copsychus malabaricus,1315
Delta pyriforme,818
Dicrurus leucophaeus,2350
Duttaphrynus stomaticus,1604
Ficus virens,1189
Gmelina arborea,2406
Melia azedarach,2987
Ochna gamblei,296
Orudiza protheclaria,234
Orophea uniflora,28
Polyscias fruticosa,415
Uropeltis pulneyensis,192
Zamia furfuracea,279
Blumea obliqua,146
Neanotis decipiens,143
Pelopidas sinensis,29
Phalanta alcippe,430
Uropeltis dindigalensis,128
Baoris penicillata,148
Clubiona filicata,164
Cultripalpa partita,118
Diospyros pruriens,89
Monodactylus argenteus,162
Myristica malabarica,181
Plesiophrictus millardi,135
Rallina canningi,3
Symbrenthia niphanda,190
Aloa lactinea,943
Alstonia venenata,201
Coleus malabaricus,90
Dictyospermum montanum,14
Garcinia morella,674
Ipomoea cairica,653
Lethe mekara,476
Madhuca longifolia,3014
Mycalesis visala,2176
Pachliopta hector,9167
Pimenta dioica,629
Prophantis adusta,177
Sonchus wightianus,249
Teratodes monticollis,734
Clematis zeylanica,89
Elattoneura nigerrima,100
Hemidactylus sahgali,159
Nasikabatrachus sahyadrensis,790
Oligodon woodmasoni,20
Psychotria nigra,193
Brassica cretica,24
Epidendrum radicans,202
Meconopsis paniculata,157
Arundinella nepalensis,63
Cyperus scariosus,164
Ipomoea eriocarpa,160
Macromia cingulata,72
Minla cyanouroptera,102
Phylloscopus fuscatus,161
Aviceda jerdoni,518
Coleus caninus,202
Gallinago stenura,332
Indigofera glabra,0
Mussaenda frondosa,465
Ophisops jerdonii,192
Oriens goloides,1501
Plumbago indica,211
Arhopala dispar,37
Cyamopsis tetragonoloba,56
Duttaphrynus himalayanus,258
Habenaria longicorniculata,173
Heynea trijuga,340
Polydesma boarmoides,95
Acampe praemorsa,48
Jasminum elongatum,36
Calotes emma,811
Cuora amboinensis,986
Curetis dentata,537
Cyanthillium cinereum,2064
Cyornis pallidipes,355
Hopea racophloea,216
Jatropha podagrica,207
Minervarya sahyadris,1391
Papilio machaon,782
Premna serratifolia,284
Psittacula columboides,1605
Rhynchosia rufescens,163
Achaea mezentia,188
Hydrolea zeylanica,192
Pyrrhocorax pyrrhocorax,294
Yuhina bakeri,128
Ardisia sonchifolia,130
Coptobasis arctalis,31
Prodasineura verticalis,702
Senna ligustrina,165
Sterna acuticauda,226
Trimeresurus popeiorum,299
Zeuxine strateumatica,57
Argiope aemula,1505
Calidris tenuirostris,422
Caprimulgus indicus,694
Catada transversalis,56
Cephonodes hylas,1798
Chloris virgata,229
Clamator coromandus,130
Elymnias malelas,1686
Endotricha mesenterialis,835
Jatropha heynei,155
Ophiusa tirhaca,459
Oriolus kundoo,3630
Oxalis debilis,192
Pecteilis gigantea,463
Platalea leucorodia,2417
Sarangesa dasahara,5002
Trianthema portulacastrum,404
Acontia nitidula,87
Collocalia esculenta,235
Raorchestes annandalii,172
Spermacoce remota,177
Vanda griffithii,146
Cyornis unicolor,335
Cypripedium himalaicum,6
Litsea oleoides,115
Tibetiodes diplostephioides,51
Belionota prasina,42
Stephanotis volubilis,210
Borbo cinnara,6332
Brownea coccinea,400
Chroicocephalus ridibundus,574
Coscinium fenestratum,352
Ducula aenea,758
Leiodon cutcutia,563
Macrobrochis gigas,1589
Pedesta pandita,163
Pinanga dicksonii,54
Pollia secundiflora,310
Pothos scandens,812
Smithia hirsuta,80
Varanus bengalensis,9350
Clitoria annua,247
Cycas pectinata,176
Eulophia cernua,171
Hipposideros ater,186
Phylloscopus affinis,325
Problepsis crassinotata,72
Senegalia chundra,142
Cirrhochrista spissalis,5
Hoplobatrachus litoralis,179
Pida apicalis,90
Casearia thwaitesii,236
Coracina javensis,13
Cricula andrei,142
Ribes glaciale,180
Cinclus pallasii,627
Citrus aurantiifolia,328
Citrus reticulata,712
Clangula hyemalis,41
Combretum coccineum,159
Cyanotis villosa,198
Decaisnea insignis,39
Ehretia laevis,1234
Icthyophaga ichthyaetus,550
Kalidasa lanata,858
Lagerstroemia speciosa,6269
Lestes elatus,1592
Lonchura striata,2151
Macrobrachium rosenbergii,172
Melochia corchorifolia,1301
Musca ventrosa,15
Myzornis pyrrhoura,122
Neurothemis fulvia,12921
Orthospila orissusalis,211
Pseudagrion indicum,1118
Scutellaria violacea,114
Verbascum thapsus,602
Zephyranthes rosea,1128
Artocarpus gomezianus,445
Capra hircus,341
Gelochelidon nilotica,252
Grewia umbellifera,11
Jynx torquilla,822
Polyrhachis illaudata,203
Pseudocalotes andamanensis,87
Boerhavia erecta,44
Boiga thackerayi,63
Centranthera tranquebarica,156
Curcuma karnatakensis,76
Euchromius ocellea,125
Habenaria roxburghii,164
Solanum giganteum,58
Sonerila scapigera,37
Aeromachus jhora,219
Heteropogon contortus,31
Jasminum trichotomum,127
Anaciaeschna jaspidea,706
Ceryle rudis,6687
Ficus mollis,460
Freyeria putli,5958
Hydrophasianus chirurgus,1931
Hyoscyamus niger,92
Krananda semihyalina,59
Kurixalus naso,33
Leptotes plinius,13693
Magnolia alba,70
Psittacula roseata,332
Satyrium nepalense,435
Tachymarptis melba,314
Cnemaspis gracilis,377
Abutilon persicum,290
Aciagrion approximans,60
Piper umbellatum,7
Spermacoce articularis,131
Stachyris nigriceps,55
Syzygium fruticosum,97
Tesia cyaniventer,56
Bronchocela danieli,177
Cristidorsa otai,159
Neptis miah,153
Phoenicurus phoenicurus,113
Phoenix paludosa,22
Phyllanthus debilis,22
Raorchestes thodai,64
Ravenia spectabilis,132
Aerides maculosa,760
Breynia retusa,1312
Carpodacus erythrinus,1089
Craspedocephalus macrolepis,736
Gracupica contra,2810
Neptis soma,241
Ratufa macroura,1076
Runcinia roonwali,49
Antheraea paphia,433
Calodactylodes aureus,537
Coldenia procumbens,565
Enhydris enhydris,292
Mycerobas melanozanthos,204
Psammophis schokari,89
Saurauia napaulensis,21
Acalypha spiciflora,167
Carpodacus sipahi,61
Cissus repens,18
Acalypha indica,1233
Anacardium occidentale,3313
Celaenorrhinus ambareesa,1480
Cymbidium aloifolium,1145
Decaschistia crotonifolia,416
Embelia tsjeriam-cottam,546
Illeis cincta,126
Oxystelma wallichii,529
Papilio paradoxa,478
Parus monticolus,612
Pedostibes tuberculosus,22924
Solanum trilobatum,586
Stenotaphrum dimidiatum,108
Tadarida teniotis,48
Terminalia anogeissiana,1227
Catopuma temminckii,66
Euthalia telchinia,331
Hipposideros speoris,160
Macracantha hasselti,217
Paragymnopleurus sinuatus,61
Alysicarpus glumaceus,63
Campiglossa producta,126
Hubera cerasoides,89
Laportea interrupta,195
Nandus nandus,23
Papilio buddha,788
Hypopyra vespertilio,164
Acraea violae,23307
Aegocera venulia,318
Cuora mouhotii,346
Eudocima salaminia,1036
Eurema blanda,10558
Kopsia fruticosa,393
Lethe bhairava,95
Myristica beddomei,230
Pernis ptilorhynchus,4202
Polypedates assamensis,99
Saxicola maurus,2043
Zeltus etolus,402
Macroglossum gyrans,379
Mezoneuron cucullatum,282
Tichodroma muraria,182
Tylorida marmorea,188
Viburnum erubescens,13
Euphorbia umbellata,187
Mixochlora vittata,116
Rhynchoglossum obliquum,74
Allopeas gracile,162
Aporandria specularia,142
Argentina microphylla,119
Bhesa indica,45
Chroicocephalus genei,158
Fimbristylis dipsacea,53
Hipposideros gentilis,77
Wedelia urticaefolia,1
Caryota mitis,11
Amaurornis akool,581
Ampittia dioscorides,4486
Begonia roxburghii,35
Ceriagrion cerinorubellum,9574
Chloroxylon swietenia,597
Colotis aurora,2393
Dendrocitta vagabunda,10192
Dysdercus cingulatus,1113
Francolinus francolinus,634
Graphium antiphates,2482
Heliotropium europaeum,175
Heterorrhina elegans,795
Hoplobatrachus tigerinus,13876
Morinda citrifolia,1835
Paectes subapicalis,198
Prosotas noreia,68
Recurvirostra avosetta,953
Sympetrum fonscolombii,854
Tephrosia purpurea,677
Truxalis nasuta,0
Ziziphus oenopolia,1517
Arivela viscosa,515
Diabolocatantops pinguis,315
Glyphodes onychinalis,390
Lycodon zawi,122
Morus nigra,199
Neope yama,156
Oxyopes birmanicus,630
Salacia chinensis,391
Smilax ovalifolia,216
Spalerosophis arenarius,152
Spigelia anthelmia,123
Artemisia parviflora,192
Cajanus lineatus,108
Dryopteris affinis,148
Idionyx gomantakensis,45
Tagesoidea tages,179
Talipariti tiliaceum,164
Archidendron bigeminum,394
Barleria longiflora,232
Barringtonia asiatica,195
Cerberus rynchops,1236
Episteme maculatrix,205
Fodina oriolus,111
Graphium epaminondas,134
Hymenodictyon obovatum,438
Impatiens lawii,130
Jatropha villosa,20
Melanitis zitenius,552
Melanochlora sultanea,248
Ortygornis gularis,312
Phelsuma andamanensis,834
Roscoea purpurea,161
Spatholobus purpureus,42
Thyas honesta,394
Tiliacora acuminata,174
Chrysanthemum morifolium,68
Eria vittata,191
Fragaria vesca,392
Pelochelys cantorii,54
Rhene albigera,110
Datura innoxia,486
Passiflora serratifolia,86
Senegalia polyacantha,144
Lathyrus sativus,93
Lindenbergia grandiflora,152
Omphisa repetitalis,117
Porpax microchilos,186
Pycnarmon virgatalis,17
Aethriamanta brevipennis,2863
Annona squamosa,2237
Crateva religiosa,744
Daboia russelii,6911
Hypolimnas bolina,28829
Micrixalus spelunca,92
Mucuna bracteata,30
Nausinoe geometralis,337
Neanotis indica,182
Netria multispinae,50
Odontoptilum angulata,810
Osmunda regalis,251
Oxyopes javanus,2423
Periplaneta americana,1496
Psilogramma increta,69
Terminalia pendula,816
Uperodon anamalaiensis,150
Wendlandia thyrsoidea,583
Caracal caracal,184
Charadrius leschenaultii,31
Cordia subcordata,333
Gallicrex cinerea,409
Lethe latiaris,86
Macaca leonina,7
Rhynchosia rothii,92
Scopula opicata,539
Tarucus venosus,587
Brachycorythis helferi,234
Egnasia ephyrodalis,99
Hypoxis aurea,294
Indigofera trita,235
Limnophila indica,142
Dieurostus dussumieri,111
Aeginetia pedunculata,198
Aglaia tomentosa,336
Agriocnemis lacteola,500
Amandava amandava,2800
Antiaris toxicaria,447
Appias lyncida,3266
Asota plaginota,201
Bulbophyllum mysorense,30
Callicarpa tomentosa,853
Funambulus palmarum,4782
Hippotion rosetta,578
Ipomoea purpurea,773
Melanochelys tricarinata,1052
Musa paradisiaca,1977
Parathyma pravara,567
Pterocarpus marsupium,615
Python molurus,2775
Spelaeornis caudatus,9
Sphagneticola trilobata,2088
