species,decimalLatitude,decimalLongitude,individualCount
Antidesma acidum,11.916494,75.731163,197
Antidesma ghaesembilla,12.886995,75.02607,197
Antidesma montanum,11.997441,75.414108,206
Antidesma velutinum,8.4875,76.952499,44
Antigastra catalaunalis,26.91457,75.731865,152
Antigonon leptopus,12.950744,77.584778,208
Antilope cervicapra,27.798237,74.432549,211
Antipercnia belluaria,28.446607,94.835003,118
Antitrygodes cuneilinea,20.350996,73.046432,172
Anuga lunulata,27.096884,88.691635,47
Aphaenogaster beccarii,15.379129,74.232697,179
Aphanamixis polystachya,12.42442,75.738182,205
Aphananthe cuspidata,12.184587,75.926003,187
Aphnaeus syama,24.497701,92.314768,125
Apis cerana,9.654183,76.748583,210
Apis dorsata,10.315187,76.924187,201
Apis florea,28.638644,77.07206,209
Apis mellifera,29.0214,79.4887,154
Aplocheilus lineatus,8.841749,76.684586,211
Aplocheilus panchax,9.570541,76.494125,188
Aplonis panayensis,16.631134,73.355774,183
Apluda mutica,27.628584,75.408249,184
Apodemus sylvaticus,30.099828,79.633367,151
Apodytes dimidiata,13.226912,75.242439,168
Aponogeton natans,23.417732,68.696765,183
Aporandria specularia,24.43202,92.330688,129
Aporia agathon,30.049682,79.905277,58
Aporosa cardiosperma,8.983249,76.719223,203
Appias albina,18.995218,73.258842,209
Appias galba,27.445472,96.535809,197
Appias indra,26.741257,89.621974,162
Appias lalage,27.02967,88.702488,146
Appias libythea,23.646029,88.126393,207
Appias lyncida,27.445472,96.535809,210
Appias olferna,26.154039,91.662967,207
Apsarasa radians,27.200899,92.48085,160
Apus affinis,14.398087,75.832333,182
Apus pacificus,14.866138,74.439373,76
Aquila chrysaetos,34.313881,77.075154,56
Aquila clanga,20.010211,74.10435,189
Aquila fasciata,19.997453,73.789802,141
Aquila heliaca,26.543477,88.720526,205
Aquila nipalensis,26.678141,93.555367,129
Aquila rapax,11.572177,76.642715,145
Aquilaria agallocha,27.0789,95.1088,162
Arachis hypogaea,11.404942,76.333336,168
Arachnothera longirostra,15.505443,73.991852,114
Arachnothera magna,26.932489,92.877663,180
Araneus viridisomus,12.227628,76.612389,53
Araucaria bidwillii,15.59632,73.872917,156
Araucaria columnaris,24.787621,92.795113,211
Arborophila rufogularis,29.209999,79.32,190
Archidendron bigeminum,11.835275,75.839096,169
Archips micaceana,23.257102,85.347215,83
Arctioblepsis rubida,25.608294,91.898911,138
Arctonyx collaris,26.577532,93.17112,124
Arctornis comma,12.144546,75.938202,131
Ardea alba,12.916095,80.183944,205
Ardea cinerea,18.791422,72.913627,207
Ardea purpurea,9.322183,76.383987,210
Ardeola bacchus,10.101973,76.651379,96
Ardeola grayii,16.657125,73.521126,210
Ardeotis nigriceps,26.910123,70.808567,191
Ardisia elliptica,8.517219,76.882906,32
Ardisia humilis,25.180971,93.011017,176
Ardisia pauciflora,13.224739,75.249138,138
Ardisia sonchifolia,10.3,77.0,130
Areas galactina,25.198645,93.01722,117
Areas imperialis,32.529999,75.980003,86
Areca catechu,12.839939,77.677002,172
Arenaria interpres,15.386429,73.879265,171
Arenga wightii,14.860348,74.757843,98
Argemone mexicana,11.781367,78.219505,184
Argemone ochroleuca,26.853,75.8038,59
Argentina microphylla,30.70386,79.607609,119
Argentina polyphylla,30.728041,79.605301,192
Argina astrea,22.467445,78.434586,194
Argiope aemula,9.225283,76.540153,203
Argiope anasuja,17.767697,73.191012,205
Argiope caesarea,25.143525,94.283342,164
Argiope pulchella,24.469257,92.533798,206
Argostemma courtallense,8.70864,77.13147,98
Argynnis hyperbius,26.87156,88.267809,209
Argyreia capitiformis,23.614817,91.327644,145
Argyreia cuneata,13.130369,77.549042,144
Argyreia cymosa,12.95976,79.303085,52
Argyreia elliptica,13.130369,77.549042,49
Argyreia hirsuta,11.353002,76.79591,52
Argyreia hookeri,16.991028,73.690635,111
Argyreia nervosa,26.647335,89.54834,203
Argyreia osyrensis,15.458923,75.007805,131
Argyreia sericea,19.340626,73.774551,108
Argyreia srinivasanii,15.999831,74.176109,40
Argyrocosma inductaria,12.164404,76.021782,174
Argyrogena fasciolata,13.064596,77.616959,187
Argyrophis diardii,26.647336,89.548337,129
Arhopala abseus,24.43202,92.330689,146
Arhopala alea,11.943457,75.853744,26
Arhopala amantes,23.614299,86.751458,210
Arhopala atrax,23.380177,87.259332,203
Arhopala bazaloides,24.352674,92.344815,88
Arhopala bazalus,24.352674,92.344815,78
Arhopala camdeo,24.428503,92.335193,209
Arhopala centaurus,24.430791,92.355635,204
Arhopala dispar,24.352674,92.344815,37
Arhopala perimuta,24.42,92.35,158
Arhopala pseudocentaurus,8.819917,76.705176,93
Ariadne ariadne,13.110313,77.485971,210
Ariadne merione,19.0466,72.8678,211
Arichanna transfasciata,25.517179,91.262856,208
Aricia agestis,30.458883,79.679291,179
Arisaema consanguineum,12.6706,75.7504,90
Arisaema griffithii,27.774696,88.541222,92
Arisaema jacquemontii,27.774696,88.541222,148
Arisaema leschenaultii,11.410204,76.695032,74
Arisaema murrayi,18.540813,73.453217,14
Arisaema nepenthoides,27.774696,88.541222,47
Arisaema propinquum,27.013641,88.562492,189
Arisaema tortuosum,15.029686,74.707031,117
Aristocypha cuneata,27.009167,88.810699,55
Aristocypha fenestrella,25.881457,91.423539,200
Aristocypha quadrimaculata,30.37659,78.061241,175
Aristolochia bracteolata,14.7051,76.3422,41
Aristolochia indica,16.498605,80.644782,179
Aristolochia labiata,11.521877,76.024681,159
Aristolochia trilobata,13.611731,75.10546,182
Arivela viscosa,12.970672,80.202209,211
Arna bipunctapex,25.143525,94.283342,116
Arnebia hispidissima,27.425634,76.079803,8
Arnetta atkinsoni,26.401436,90.266701,111
Arnetta vindhiana,22.751896,77.728866,150
Arsacia rectalis,26.705017,89.60991,193
Artabotrys hexapetalus,23.640378,88.129937,34
Artabotrys zeylanicus,9.498067,76.338852,106
Artamus fuscus,12.63302,74.985168,210
Artemisia parviflora,11.663501,76.604752,192
Artemisia vulgaris,25.67697,91.927223,122
Artena dotata,25.612099,91.897713,166
Artena rubida,23.164543,92.937576,159
Arthroschista hilaralis,25.271656,91.730804,198
Artocarpus altilis,12.925008,77.593803,198
Artocarpus gomezianus,14.625444,74.825653,181
Artocarpus heterophyllus,9.485476,76.499609,210
Artocarpus hirsutus,12.873392,75.646362,208
Artocarpus lacucha,30.362745,78.06662,179
Arundina graminifolia,26.774843,91.931915,207
Arundinella leptochloa,15.39719,74.338219,86
Arundinella nepalensis,15.398533,74.333671,63
Arundo donax,15.39719,74.338219,168
Asarcornis scutulata,27.3951,95.63,119
Ascalaphus sinister,26.444604,73.0844,31
Asclepias curassavica,22.496443,78.395599,203
Asemonea tenuipes,10.029034,76.359016,210
Asio flammeus,23.296856,71.455078,203
Asio otus,28.635344,75.382024,32
Asota canaraica,11.616429,76.015058,145
Asota caricae,10.531178,76.257347,193
Asota egens,8.524248,77.359383,133
Asota ficus,22.58,88.239998,198
Asota heliconia,8.4521,77.0626,58
Asota paphos,28.429329,94.806969,198
Asota plaginota,24.835772,92.799637,169
Asota plana,27.199678,92.479477,203
Asota producta,8.524248,77.359383,198
Asparagus officinalis,14.7062,76.3368,7
Asparagus racemosus,26.825659,92.77549,211
Asparagus setaceus,26.737265,93.023674,179
Aspidimorpha furcata,24.426204,92.338938,196
Asplenium nidus,26.651571,94.328262,174
Astictopterus jama,27.445472,96.535809,201
Astrobatrachus kurichiyana,11.703206,76.0834,209
Astropecten indicus,21.563129,88.259499,176
Asymblepharus himalayanus,30.670874,79.588076,206
Asymblepharus sikimmensis,26.987652,88.119376,205
Asystasia gangetica,8.735556,77.058052,201
Asystasia travancorica,8.504928,77.466446,147
Ataboruza divisa,30.84726,77.07148,115
Atalantia ceylanica,11.987854,77.143585,188
Atalantia racemosa,11.950244,75.865128,173
Atalantia wightii,12.549118,75.686874,4
Athene brama,26.753322,91.212139,209
Atherinomorus lacunosus,24.352674,92.344815,89
Atherurus macrourus,27.504007,96.438675,138
Atractomorpha crenulata,26.750976,91.237164,95
Atretium schistosum,13.192354,80.262909,193
Atrophaneura aidoneus,24.441694,92.385063,90
Atrophaneura varuna,24.365583,92.337418,143
Attacus atlas,9.981636,76.299884,206
Attacus taprobanis,13.713879,75.00075,192
Attatha regalis,12.225285,79.074699,113
Aulacophora indica,22.681169,88.352084,36
Aularches miliaris,11.363351,76.942307,195
Aulocera swaha,30.706166,79.595901,86
Auricularia auricula-judae,30.929543,77.067306,168
Austruca annulipes,21.551373,87.358177,171
Autocharis fessalis,27.1994,92.484528,208
Auzakia danava,27.544781,93.819611,207
Avena sativa,22.762213,78.348679,73
Averrhoa bilimbi,16.635204,73.364212,211
Averrhoa carambola,25.98606,90.786566,192
Aviceda jerdoni,24.681102,92.563806,211
Aviceda leuphotes,10.02913,76.359055,193
Avicennia marina,22.464725,69.725815,177
Axis axis,19.916191,78.44109,203
Axis porcinus,26.577532,93.17112,210
Aythya ferina,18.29681,74.758537,143
Aythya fuligula,23.866977,86.906058,198
Aythya marila,28.5534,77.194165,54
Aythya nyroca,28.52673,77.575363,172
Azadirachta indica,9.596228,76.43187,211
Azanus jesous,25.3693,76.0071,202
Azanus ubaldus,28.52673,77.575363,207
Azanus uranus,17.680464,74.018261,201
Azima tetracantha,12.153679,77.111122,210
Azolla pinnata,19.9127,85.6646,113
Baccaurea courtallensis,11.916494,75.731163,200
Baccaurea ramiflora,26.400537,92.807396,174
Baccharoides anthelmintica,8.504928,77.466446,156
Bacopa monnieri,13.3737,77.1404,179
Bactrocera dorsalis,18.52043,73.856744,165
Badamia exclamationis,24.352674,92.344815,205
Badis badis,26.931444,92.84494,171
Bagrada hilaris,21.2991,72.8676,164
Balanites aegyptiaca,13.553348,76.011116,193
Balanophora dioica,25.225853,91.675903,137
Balanophora fungosa,8.546392,77.382545,56
Bambusa bambos,25.180971,93.011017,152
Bambusa pallida,26.9871,94.3108,40
Bambusa ventricosa,26.469931,90.295204,91
Bambusa vulgaris,22.787,87.9624,193
Bandicota bengalensis,26.758322,91.212611,200
Bandicota indica,22.603134,88.467139,184
Baoris farri,26.154032,91.662974,172
Baoris penicillata,26.588917,94.056771,148
Barleria buxifolia,13.034585,77.636864,203
Barleria courtallica,11.842961,75.665031,104
Barleria cristata,26.017452,90.307098,180
Barleria cuspidata,8.56554,77.099609,187
Barleria grandiflora,16.906013,73.74411,160
Barleria involucrata,8.549788,77.382828,155
Barleria lawii,19.340626,73.774551,78
Barleria longiflora,12.172019,79.301483,81
Barleria lupulina,30.621176,74.74395,162
Barleria montana,11.604632,77.076591,201
Barleria nitida,13.170984,80.199112,9
Barleria noctiflora,8.713913,77.756653,45
Barleria pilosa,8.68834,77.309471,99
Barleria prionitis,17.405325,73.670395,186
Barleria tomentosa,12.296901,78.41629,171
Barringtonia acutangula,8.514987,76.882843,208
Barringtonia asiatica,11.937824,79.833107,152
Barringtonia racemosa,9.45448,76.343994,194
Barsine striata,25.271656,91.730804,101
Basella alba,22.67001,88.350022,172
Basilicum polystachyon,10.790483,78.704674,154
Bastilla arcuata,13.069992,80.249184,111
Bastilla crameri,25.612099,91.897713,207
Bastilla fulvotaenia,13.576117,75.106299,175
Bastilla joviana,25.608294,91.898911,79
