species,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,individualCount
Accipiter badius,12.947516,77.58519,2013-11-24,PRESENT,131
Accipiter badius,13.034622,80.26297,2010-08-28,PRESENT,84
Accipiter badius,13.034705,80.263039,2011-08-21,PRESENT,87
Accipiter badius,13.037322,80.212312,2008-09-20,PRESENT,161
Accipiter badius,13.072571,77.55838,2013-04-27,PRESENT,122
Accipiter badius,13.352384,74.786784,2023-11-26,PRESENT,128
Accipiter badius,17.329758,78.387192,2013-01-01,PRESENT,180
Accipiter badius,18.258949,73.588858,2024-02-28,PRESENT,27
Accipiter badius,20.198126,85.447763,2024-05-10,PRESENT,160
Accipiter badius,22.6185,88.0053,2023-05-06,PRESENT,103
Accipiter badius,22.889994,86.219641,2019-08-02,PRESENT,114
Accipiter badius,23.137287,72.406578,2007-03-31,PRESENT,95
Accipiter badius,28.593096,77.219679,2023-07-06,PRESENT,169
Accipiter nisus,11.410204,76.695032,2024-02-23,PRESENT,35
Accipiter trivirgatus,17.695433,81.771225,2012-01-30,PRESENT,149
Accipiter virgatus,24.600548,92.381363,2015-06-21,PRESENT,60
Aceros nipalensis,26.645924,89.549003,2018-03-14,PRESENT,150
Aceros nipalensis,26.699415,89.610085,2015-12-26,PRESENT,149
Achaea janata,14.352042,75.740433,2014-10-26,PRESENT,26
Achaea janata,19.4098,84.5107,2024-02-11,PRESENT,93
Achaea janata,34.083669,74.797281,2012-06-17,PRESENT,18
Acherontia lachesis,9.572112,77.089596,2021-08-07,PRESENT,183
Acherontia lachesis,13.576117,75.106299,2020-05-27,PRESENT,185
Acherontia lachesis,13.680736,79.350897,2020-02-26,PRESENT,133
Acherontia lachesis,14.349915,75.732948,2015-04-04,PRESENT,129
Acherontia lachesis,14.7046,76.3397,2023-12-03,PRESENT,25
Acherontia lachesis,19.516542,83.507287,2020-08-16,PRESENT,187
Acherontia styx,15.139393,76.92144,2013-11-12,PRESENT,90
Acherontia styx,17.357428,78.427773,2016-09-06,PRESENT,137
Acherontia styx,25.299999,91.699997,2013-07-02,PRESENT,111
Achillea filipendulina,25.193636,93.018982,2018-02-22,PRESENT,129
Achyranthes aspera,26.154375,91.659416,2017-10-22,PRESENT,177
Aciagrion occidentale,13.623527,74.691742,2020-09-19,PRESENT,21
Aciagrion occidentale,24.425633,92.338816,2020-07-03,PRESENT,192
Acisoma panorpoides,8.533491,76.904744,2022-09-13,PRESENT,103
Acisoma panorpoides,9.924494,76.769402,2020-10-31,PRESENT,114
Acisoma panorpoides,9.925302,76.769289,2023-10-07,PRESENT,118
Acisoma panorpoides,10.297582,76.256602,2020-07-12,PRESENT,121
Acisoma panorpoides,11.9369,79.8358,2015-07-09,PRESENT,11
Acisoma panorpoides,12.050904,75.387497,2013-10-11,PRESENT,54
Acisoma panorpoides,12.2681,76.6031,2023-08-29,PRESENT,80
Acisoma panorpoides,12.269372,76.611978,2021-10-15,PRESENT,191
Acisoma panorpoides,12.285582,76.567607,2021-03-16,PRESENT,9
Acisoma panorpoides,12.813616,77.567336,2022-09-04,PRESENT,8
Acisoma panorpoides,13.113118,77.578873,2022-09-03,PRESENT,197
Acisoma panorpoides,20.152813,78.350456,2014-08-21,PRESENT,32
Acisoma panorpoides,21.133133,79.045799,2014-08-18,PRESENT,65
Acisoma panorpoides,21.769949,88.231513,2023-12-04,PRESENT,10
Acisoma panorpoides,22.194485,88.183578,2018-11-23,PRESENT,23
Acisoma panorpoides,22.6193,88.0037,2023-05-06,PRESENT,17
Acisoma panorpoides,22.681162,88.35208,2023-08-29,PRESENT,97
Acisoma panorpoides,22.681172,88.352076,2023-11-28,PRESENT,76
Acisoma panorpoides,22.68308,88.32224,2021-09-15,PRESENT,51
Acisoma panorpoides,22.70463,88.339918,2021-09-24,PRESENT,18
Acisoma panorpoides,22.791923,88.330959,2022-09-03,PRESENT,176
Acisoma panorpoides,22.972237,88.444136,2021-11-06,PRESENT,25
Acisoma panorpoides,23.184226,88.577526,2022-03-05,PRESENT,54
Acisoma panorpoides,23.520444,87.311923,2013-06-15,PRESENT,25
Acisoma panorpoides,23.643327,88.118156,2023-11-20,PRESENT,17
Acisoma panorpoides,23.71447,88.224208,2021-02-27,PRESENT,180
Acisoma panorpoides,26.023544,76.388237,2012-10-27,PRESENT,178
Acisoma panorpoides,26.17033,91.570327,2022-08-30,PRESENT,185
Acisoma panorpoides,28.338743,77.619216,2023-08-24,PRESENT,164
Acisoma panorpoides,28.52673,77.575363,2023-03-20,PRESENT,21
Acisoma panorpoides,28.551442,77.318522,2022-08-19,PRESENT,204
Acmella oleracea,12.919904,79.139465,2014-04-12,PRESENT,169
Acmella oleracea,25.4621,87.058,2022-12-06,PRESENT,81
Acmella paniculata,26.318609,94.512108,2013-12-19,PRESENT,2
Acmella uliginosa,22.685139,88.321112,2023-11-26,PRESENT,72
Acolutha pictaria,27.337797,88.612892,2015-12-18,PRESENT,83
Acontia crocata,25.1839,75.8263,2022-07-22,PRESENT,197
Acraea terpsicore,8.4534,77.0727,2024-03-28,PRESENT,52
Acraea terpsicore,8.68425,77.135411,2022-06-05,PRESENT,17
Acraea terpsicore,9.564319,76.570677,2020-08-03,PRESENT,0
Acraea terpsicore,10.346893,76.207412,2020-10-01,PRESENT,91
Acraea terpsicore,11.786253,77.800785,2022-02-11,PRESENT,201
Acraea terpsicore,12.94829,77.585686,2013-12-14,PRESENT,87
Acraea terpsicore,19.073759,72.839111,2020-05-28,PRESENT,67
Acraea terpsicore,19.8171,85.8607,2023-10-23,PRESENT,120
Acraea terpsicore,20.1885,85.4361,2024-03-28,PRESENT,126
Acraea terpsicore,20.1969,85.4641,2024-04-24,PRESENT,183
Acraea terpsicore,20.1975,85.4398,2024-04-21,PRESENT,103
Acraea terpsicore,20.1977,85.4401,2024-03-14,PRESENT,206
Acraea terpsicore,20.202244,85.45174,2024-04-25,PRESENT,189
Acraea terpsicore,21.321756,72.8581,2022-04-27,PRESENT,183
Acraea terpsicore,21.3223,72.8576,2022-03-30,PRESENT,145
Acraea terpsicore,21.3225,72.8577,2022-04-03,PRESENT,109
Acraea terpsicore,21.3233,72.8521,2022-04-13,PRESENT,158
Acraea terpsicore,21.3235,72.8508,2022-04-13,PRESENT,68
Acraea terpsicore,21.414894,72.682401,2021-07-17,PRESENT,193
Acraea terpsicore,22.607914,88.465367,2019-09-21,PRESENT,79
Acraea terpsicore,22.685756,88.336076,2023-09-01,PRESENT,200
Acraea terpsicore,22.692177,78.105125,2015-03-11,PRESENT,136
Acraea terpsicore,22.791923,88.330959,2017-06-16,PRESENT,14
Acraea terpsicore,22.80416,88.333923,2021-04-08,PRESENT,128
Acraea terpsicore,23.473264,87.301764,2019-04-06,PRESENT,26
Acraea terpsicore,23.582427,87.340801,2018-07-05,PRESENT,147
Acraea terpsicore,25.01511,85.057117,2021-08-23,PRESENT,165
Acraea terpsicore,26.014657,91.478521,2022-06-19,PRESENT,155
Acraea terpsicore,30.316495,78.032192,2022-06-28,PRESENT,119
Acraea vesta,25.143525,94.283342,2020-09-17,PRESENT,21
Acraea vesta,26.645924,89.549004,2017-11-01,PRESENT,187
Acraea vesta,26.87156,88.267809,2019-05-01,PRESENT,168
Acraea vesta,27.031942,88.667538,2015-10-26,PRESENT,12
Acraea vesta,27.395147,95.630023,2020-09-18,PRESENT,138
Acraea vesta,29.600957,79.666954,2023-04-23,PRESENT,179
Acraea vesta,30.465218,78.012733,2019-09-03,PRESENT,22
Acraea violae,9.946385,76.25805,2020-12-13,PRESENT,9
Acraea violae,10.11463,76.477753,2021-10-03,PRESENT,18
Acraea violae,11.016845,76.955832,2020-09-30,PRESENT,108
Acraea violae,11.3247,79.2388,2021-07-19,PRESENT,206
Acraea violae,11.3258,79.2457,2021-07-16,PRESENT,187
Acraea violae,11.474454,77.869128,2022-05-20,PRESENT,82
Acraea violae,11.687405,78.180668,2021-07-31,PRESENT,202
Acraea violae,12.636622,77.888176,2016-07-21,PRESENT,173
Acraea violae,12.860144,80.227226,2016-03-06,PRESENT,157
Acraea violae,12.948431,77.586296,2012-12-09,PRESENT,134
Acraea violae,12.954062,77.514,2017-06-23,PRESENT,49
Acraea violae,13.08268,80.270718,2020-09-14,PRESENT,81
Acraea violae,13.130651,77.546502,2022-09-03,PRESENT,97
Acraea violae,13.354951,74.784035,2019-11-29,PRESENT,146
Acraea violae,14.354177,75.798646,2023-09-27,PRESENT,105
Acraea violae,15.729238,74.887077,2020-06-25,PRESENT,93
Acraea violae,15.733913,74.879745,2020-05-29,PRESENT,151
Acraea violae,18.666782,72.933326,2023-09-09,PRESENT,188
Acraea violae,18.9568,72.8051,2023-09-09,PRESENT,154
Acraea violae,18.9574,72.805,2023-09-23,PRESENT,194
Acraea violae,19.052258,72.862764,2021-08-31,PRESENT,23
Acraea violae,19.1637,72.8831,2021-01-16,PRESENT,55
Acraea violae,19.172554,72.942537,2020-09-28,PRESENT,43
Acraea violae,19.214706,72.910622,2012-11-05,PRESENT,101
Acraea violae,19.270073,72.9554,2017-12-16,PRESENT,92
Acraea violae,19.6682,85.0817,2024-04-15,PRESENT,26
Acraea violae,19.7883,85.2226,2024-02-06,PRESENT,9
Acraea violae,20.1886,85.439,2023-12-16,PRESENT,6
Acraea violae,20.1933,85.4387,2023-11-04,PRESENT,168
Acraea violae,20.1934,85.4394,2024-03-09,PRESENT,47
Acraea violae,20.1977,85.4394,2023-12-06,PRESENT,134
Acraea violae,20.1978,85.4393,2023-12-04,PRESENT,101
Acraea violae,21.1283,72.733,2021-02-27,PRESENT,76
Acraea violae,21.2897,74.8566,2023-12-10,PRESENT,159
Acraea violae,21.3212,72.8587,2023-07-20,PRESENT,15
Acraea violae,21.321756,72.8581,2023-08-02,PRESENT,15
Acraea violae,21.3226,72.8574,2022-04-05,PRESENT,88
Acraea violae,21.3227,72.8565,2022-04-01,PRESENT,107
Acraea violae,22.518948,88.275467,2013-03-10,PRESENT,140
Acraea violae,22.669635,88.361571,2018-03-08,PRESENT,25
Acraea violae,22.727876,87.867251,2018-06-14,PRESENT,45
Acraea violae,22.891117,88.470664,2019-07-30,PRESENT,69
Acraea violae,22.917767,77.722294,2021-09-10,PRESENT,165
Acraea violae,22.950178,88.019187,2022-07-15,PRESENT,107
Acraea violae,22.973122,86.854657,2021-07-03,PRESENT,77
Acraea violae,23.25538,87.85036,2023-09-20,PRESENT,192
Acraea violae,23.640378,88.129937,2023-07-22,PRESENT,8
Acraea violae,23.6462,88.1216,2019-04-04,PRESENT,54
Acraea violae,23.646452,88.119075,2023-09-24,PRESENT,155
Acraea violae,23.64992,88.126986,2023-09-29,PRESENT,82
Acraea violae,23.658564,88.120552,2015-03-09,PRESENT,37
Acraea violae,23.877771,86.911646,2023-09-16,PRESENT,207
Acraea violae,25.3559,75.9922,2021-04-05,PRESENT,208
Acraea violae,26.231764,92.518353,2022-04-08,PRESENT,92
Acraea violae,26.472307,90.568436,2013-05-22,PRESENT,69
Acridotheres fuscus,8.481392,76.954224,2013-11-22,PRESENT,98
Acridotheres fuscus,11.316755,76.598663,2019-05-21,PRESENT,178
Acridotheres fuscus,11.400908,76.714218,2019-12-08,PRESENT,21
Acridotheres fuscus,11.664325,78.146014,2017-06-27,PRESENT,140
Acridotheres fuscus,14.354177,75.798646,2023-06-29,PRESENT,36
Acridotheres fuscus,16.657125,73.521126,2018-03-11,PRESENT,156
Acridotheres fuscus,17.763023,81.88765,2011-12-27,PRESENT,66
Acridotheres fuscus,19.990187,73.757561,2016-07-10,PRESENT,114
Acridotheres fuscus,26.154039,91.662967,2024-03-16,PRESENT,64
Acridotheres fuscus,29.346083,79.551918,2016-04-27,PRESENT,176
Acridotheres ginginianus,28.496679,77.563049,2013-03-13,PRESENT,6
Acridotheres grandis,26.717398,93.422073,2012-01-09,PRESENT,62
Acridotheres tristis,9.531465,76.603722,2020-09-28,PRESENT,204
Acridotheres tristis,10.023718,76.291944,2021-01-03,PRESENT,83
Acridotheres tristis,12.6772,77.9121,2023-08-14,PRESENT,95
Acridotheres tristis,12.684012,80.217552,2011-10-14,PRESENT,96
Acridotheres tristis,13.072571,77.55838,2014-06-05,PRESENT,201
Acridotheres tristis,13.117849,77.544853,2006-08-07,PRESENT,72
Acridotheres tristis,13.122275,75.148222,2021-02-16,PRESENT,16
Acridotheres tristis,16.648659,73.523666,2018-03-10,PRESENT,65
Acridotheres tristis,17.329393,78.39473,2013-06-16,PRESENT,188
Acridotheres tristis,18.695627,72.925336,2017-05-28,PRESENT,3
Acridotheres tristis,19.137947,72.88446,2018-11-11,PRESENT,50
Acridotheres tristis,20.198126,85.447763,2024-03-30,PRESENT,98
Acridotheres tristis,22.58676,88.41494,2022-04-18,PRESENT,160
Acridotheres tristis,23.640378,88.129937,2023-05-03,PRESENT,177
Acridotheres tristis,23.643327,88.118156,2023-12-19,PRESENT,48
Acridotheres tristis,23.657744,88.125899,2023-07-08,PRESENT,206
Acridotheres tristis,24.733919,92.887802,2018-07-14,PRESENT,7
Acridotheres tristis,25.273224,85.455849,2018-06-01,PRESENT,172
Acridotheres tristis,26.193979,91.758896,2017-03-23,PRESENT,201
Acridotheres tristis,26.752657,88.584166,2014-04-18,PRESENT,161
Acridotheres tristis,26.914698,75.731664,2017-01-27,PRESENT,55
Acridotheres tristis,28.589525,77.242538,2017-11-28,PRESENT,198
Acridotheres tristis,28.70977,77.217054,2009-06-29,PRESENT,132
Acritillas indica,11.341497,76.855949,2022-01-21,PRESENT,107
Acritillas indica,11.554974,76.134894,1979-12-31,PRESENT,135
Acritillas indica,12.455171,75.702663,2020-11-24,PRESENT,111
Acritillas indica,13.56631,75.134205,2020-01-05,PRESENT,66
Acritillas indica,15.44011,74.106377,2013-05-19,PRESENT,45
Acritillas indica,16.56143,73.859549,2021-04-07,PRESENT,189
Acritillas indica,16.564677,73.874253,2021-03-25,PRESENT,162
Acrocarpus fraxinifolius,12.80566,77.582001,2014-04-25,PRESENT,14
Acrocephalus bistrigiceps,20.1962,85.4375,2024-03-14,PRESENT,166
Acrocephalus dumetorum,12.04168,76.131996,2012-12-16,PRESENT,163
Acrocephalus dumetorum,12.386219,75.529854,2015-03-08,PRESENT,22
Acrocephalus dumetorum,12.411209,76.684563,2013-03-17,PRESENT,164
Acronychia pedunculata,10.045273,77.155128,2019-04-22,PRESENT,25
Acrotrema arnottianum,8.4875,76.952499,2014-08-17,PRESENT,40
Actias selene,10.265503,77.545105,2019-10-01,PRESENT,88
Actias selene,11.353003,76.795906,2019-07-11,PRESENT,170
Actias selene,11.5,79.76667,2010-09-12,PRESENT,113
Actias selene,11.949906,76.349701,2016-12-26,PRESENT,18
Actias selene,12.24014,75.231873,2013-09-22,PRESENT,172
Actias selene,12.6721,75.7828,2023-04-27,PRESENT,62
Actias selene,18.74806,73.407219,2013-12-04,PRESENT,110
Actias selene,21.196673,80.014366,2019-11-16,PRESENT,175
Actias selene,21.451124,82.518585,2016-07-31,PRESENT,112
Actias selene,21.578793,79.2873,2015-08-14,PRESENT,0
Actias selene,24.582806,72.699127,2016-09-24,PRESENT,83
Actias selene,25.347746,76.018882,2021-10-14,PRESENT,110
Actias selene,26.756357,88.797478,2016-07-31,PRESENT,95
Actias selene,27.145853,93.246261,2022-04-18,PRESENT,69
Actias selene,29.898522,79.224635,2022-07-21,PRESENT,84
Actias selene,33.371613,74.315193,2016-09-06,PRESENT,188
Actinodaphne lanceolata,14.455122,74.710487,2018-01-15,PRESENT,8
Actinodaphne lanceolata,18.540813,73.453217,2014-04-21,PRESENT,141
Actinodura egertoni,27.136147,92.454926,2013-11-27,PRESENT,79
Actinodura egertoni,27.353325,88.514786,2014-03-29,PRESENT,108
Actitis hypoleucos,11.271724,76.644723,2024-03-07,PRESENT,52
Actitis hypoleucos,13.070292,77.769526,2019-02-12,PRESENT,210
Actitis hypoleucos,14.361317,75.890611,2021-02-20,PRESENT,161
Actitis hypoleucos,14.455029,75.892607,2021-01-01,PRESENT,8
Actitis hypoleucos,23.126587,72.542915,2015-02-08,PRESENT,143
Actitis hypoleucos,27.184105,77.507339,2016-02-26,PRESENT,98
Acytolepis puspa,11.744481,78.169086,2021-09-04,PRESENT,177
Acytolepis puspa,11.934194,75.850986,2019-01-05,PRESENT,27
Acytolepis puspa,12.739404,77.786698,2023-09-25,PRESENT,15
Acytolepis puspa,12.8949,77.593626,2018-11-25,PRESENT,61
Acytolepis puspa,13.064524,77.543495,2012-12-02,PRESENT,52
Acytolepis puspa,13.625658,75.153,2021-12-18,PRESENT,83
Acytolepis puspa,14.595729,74.846244,2019-04-27,PRESENT,184
Acytolepis puspa,14.606078,74.848429,2018-12-29,PRESENT,211
Acytolepis puspa,14.976031,74.206193,2021-11-21,PRESENT,59
Acytolepis puspa,17.603097,73.847787,2009-11-20,PRESENT,28
Acytolepis puspa,18.9569,72.8046,2022-09-04,PRESENT,155
Acytolepis puspa,18.985037,73.28923,2017-06-01,PRESENT,131
Acytolepis puspa,19.004379,73.282455,2011-11-01,PRESENT,62
Acytolepis puspa,19.018236,73.279388,2013-01-01,PRESENT,31
Acytolepis puspa,26.704812,89.612467,2017-04-09,PRESENT,30
Acytolepis puspa,27.376099,88.628119,2007-04-18,PRESENT,91
Acytolepis puspa,30.380373,78.068015,2019-09-05,PRESENT,206
Adansonia digitata,19.19824,72.949009,2022-04-22,PRESENT,15
Adansonia digitata,26.8666,75.8082,2023-12-08,PRESENT,201
Adenanthera pavonina,8.515878,76.950775,2013-12-17,PRESENT,180
Adenanthera pavonina,22.987408,87.009662,2021-04-30,PRESENT,106
Adenanthera pavonina,26.93454,92.810036,2018-09-14,PRESENT,16
Adenia hondala,13.502664,75.090317,2016-03-16,PRESENT,177
Adenoon indicum,15.961906,73.99633,2016-11-03,PRESENT,113
Adiantum alarconianum,27.028324,76.058615,2009-10-08,PRESENT,122
Adiantum capillus-veneris,9.498708,76.329086,2013-01-11,PRESENT,106
Aeginetia pedunculata,12.259812,75.449039,2022-08-13,PRESENT,63
Aegithalos concinnus,27.155851,92.462997,2013-11-28,PRESENT,211
Aegithalos concinnus,29.379686,80.005814,2012-05-30,PRESENT,64
Aegithina nigrolutea,11.664325,78.146014,2018-05-03,PRESENT,3
Aegithina tiphia,11.505033,76.495552,2012-11-09,PRESENT,135
Aegithina tiphia,12.087466,76.709711,2021-08-18,PRESENT,54
Aegithina tiphia,12.345368,77.854614,2011-03-19,PRESENT,30
Aegithina tiphia,12.424339,76.654488,2013-12-04,PRESENT,209
Aegithina tiphia,15.44011,74.106378,2019-12-13,PRESENT,98
Aegithina tiphia,19.859384,74.005938,2022-01-30,PRESENT,51
Aegithina tiphia,23.627866,88.162376,2023-05-13,PRESENT,48
Aegithina tiphia,23.6499,88.1268,2023-05-02,PRESENT,70
Aegithina tiphia,26.745993,91.020325,2016-04-25,PRESENT,158
Aegle marmelos,8.658916,77.434555,2019-04-23,PRESENT,179
Aegle marmelos,10.7131,75.9528,2019-10-11,PRESENT,10
Aegle marmelos,19.017799,72.847812,2021-12-20,PRESENT,69
Aegle marmelos,20.18396,85.617307,2023-11-09,PRESENT,158
Aegle marmelos,20.1897,85.4387,2023-12-16,PRESENT,57
Aegle marmelos,22.544,88.341,2022-04-19,PRESENT,123
Aegle marmelos,22.9928,86.996,2021-04-29,PRESENT,207
Aegle marmelos,24.666245,79.970367,2019-10-18,PRESENT,151
Aegle marmelos,25.2396,75.8338,2022-04-22,PRESENT,201
Aegle marmelos,26.815916,75.819147,2022-04-22,PRESENT,68
Aegocera venulia,26.91457,75.731865,2008-08-11,PRESENT,52
Aenhenrya rotundifolia,10.117255,76.926854,2019-10-06,PRESENT,152
Aerides crispa,18.698286,73.390045,2014-04-25,PRESENT,202
Aerides maculosa,12.144559,75.938179,2011-07-06,PRESENT,150
Aerides maculosa,14.606078,74.848427,2019-06-05,PRESENT,157
Aerides odorata,26.972099,94.336472,2017-05-29,PRESENT,163
Aerides rosea,23.200277,86.126732,2020-07-01,PRESENT,96
Aerides rosea,27.206396,95.443893,2009-05-03,PRESENT,198
Aeromachus pygmaeus,9.152927,76.786681,2021-12-16,PRESENT,135
Aeromachus pygmaeus,26.523852,93.962337,2020-12-09,PRESENT,61
Aeschynomene americana,11.572177,76.642715,2017-11-02,PRESENT,85
Aesculus assamica,30.316494,78.032188,2015-03-10,PRESENT,60
Aesculus indica,30.772616,79.495346,2008-07-27,PRESENT,68
Aesculus indica,31.104811,77.173733,2014-04-20,PRESENT,184
Aethaloessa calidalis,10.76772,75.925903,2012-07-07,PRESENT,157
Aethaloessa calidalis,12.42442,75.738182,2010-12-11,PRESENT,7
Aethaloessa calidalis,26.407763,90.268753,2018-06-18,PRESENT,40
Aetholix flavibasalis,24.43202,92.330688,2013-09-12,PRESENT,19
Aethopyga nipalensis,26.88666,88.276909,2016-02-14,PRESENT,174
Aethopyga saturata,28.216534,95.796234,2016-04-05,PRESENT,74
Aethopyga siparaja,25.143524,94.28334,2019-10-24,PRESENT,198
Aethopyga siparaja,26.164135,90.625153,2018-02-08,PRESENT,94
Aethopyga siparaja,29.569574,79.077187,2014-11-22,PRESENT,150
Aethopyga vigorsii,15.50128,73.771464,2022-07-15,PRESENT,65
Aethopyga vigorsii,26.523851,93.962334,2011-10-06,PRESENT,104
Aethriamanta brevipennis,9.7461,76.3072,2021-04-25,PRESENT,149
Aethriamanta brevipennis,10.297582,76.256602,2020-06-29,PRESENT,8
Aethriamanta brevipennis,22.68308,88.32224,2021-10-02,PRESENT,42
Aetius decollatus,12.626927,80.192711,2015-08-09,PRESENT,200
Aetomylaeus maculatus,13.347199,74.691925,2013-09-17,PRESENT,156
Aganope thyrsiflora,11.895834,75.748413,2012-12-16,PRESENT,191
Agapetes odontocera,25.143525,94.283342,2020-05-23,PRESENT,166
Agapetes serpens,27.33872,88.608986,2016-04-13,PRESENT,110
Agathia lycaenaria,8.941641,76.753858,2020-11-29,PRESENT,123
Agathia lycaenaria,24.43202,92.330688,2017-11-26,PRESENT,60
Agathodes ostentalis,13.502664,75.090317,2017-04-25,PRESENT,210
Agathodes ostentalis,28.569129,95.056736,2022-03-30,PRESENT,41
Agathodes ostentalis,32.228485,76.170097,2016-07-23,PRESENT,95
Agave amica,22.680816,88.35242,2023-08-07,PRESENT,116
Ageratina adenophora,10.360729,76.978905,2015-08-22,PRESENT,197
Ageratina adenophora,29.5315,79.2375,2023-10-21,PRESENT,116
Ageratina adenophora,29.589241,79.646666,2023-04-02,PRESENT,93
Ageratum conyzoides,9.440478,77.160347,2014-11-24,PRESENT,116
Ageratum conyzoides,13.149206,80.241498,2020-01-24,PRESENT,82
Ageratum conyzoides,26.108429,91.785652,2018-01-20,PRESENT,113
Aglaia elaeagnoidea,10.206068,76.197211,2019-05-28,PRESENT,23
Aglaia simplicifolia,12.42442,75.738182,2012-04-25,PRESENT,92
Aglaia simplicifolia,12.572492,75.659454,2002-11-28,PRESENT,98
Aglaia tomentosa,9.425015,77.174965,2002-11-28,PRESENT,151
Aglais caschmirensis,25.5929,91.8802,2021-06-07,PRESENT,129
Aglais caschmirensis,27.279013,88.594147,2015-03-05,PRESENT,99
Aglais caschmirensis,29.698478,79.759577,2021-11-18,PRESENT,127
Aglais caschmirensis,29.846527,79.567508,2021-11-16,PRESENT,174
Aglais caschmirensis,30.461899,78.098167,2013-10-05,PRESENT,91
Aglais caschmirensis,30.465218,78.012733,2019-09-03,PRESENT,68
Aglais caschmirensis,34.137184,75.03775,2023-06-23,PRESENT,128
Aglaomorpha plagiata,25.095386,94.361652,2021-03-28,PRESENT,120
